configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
hurricane:AL171980__AL112009:a0.5|CPS-2F,hurricane,AL171980__AL112009,0.5,CPS-2F,validated,4509.0,1795268125.0,0.0002511602549619155,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL171980__AL112009:a0.5|CPS-3F,hurricane,AL171980__AL112009,0.5,CPS-3F,validated,270.0,600625.0,0.044953173777315295,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL102008__AL061989:a0.5|CPS-2F,hurricane,AL102008__AL061989,0.5,CPS-2F,validated,3833.0,6513352560.0,5.8848342150850807e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL102008__AL061989:a0.5|CPS-3F,hurricane,AL102008__AL061989,0.5,CPS-3F,validated,321.0,1411344.0,0.022744277794782844,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP102002__EP042014:a0.5|CPS-2F,hurricane,EP102002__EP042014,0.5,CPS-2F,validated,5120.0,8582817852.0,5.965406802623591e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP102002__EP042014:a0.5|CPS-3F,hurricane,EP102002__EP042014,0.5,CPS-3F,validated,487.0,1695204.0,0.028728105879882303,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP032000__EP041975:a0.5|CPS-3F,hurricane,EP032000__EP041975,0.5,CPS-3F,validated,449.0,1225449.0,0.036639631677858484,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP032000__EP041975:a0.5|CPS-2F,hurricane,EP032000__EP041975,0.5,CPS-2F,validated,6319.0,5260852557.0,0.00012011361146383103,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP081993__EP121989:a0.5|CPS-2F,hurricane,EP081993__EP121989,0.5,CPS-2F,validated,5661.0,62735601600.0,9.023584464996986e-06,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP081993__EP121989:a0.5|CPS-3F,hurricane,EP081993__EP121989,0.5,CPS-3F,validated,469.0,6350400.0,0.007385361552028218,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP032006__EP201992:a0.5|CPS-2F,hurricane,EP032006__EP201992,0.5,CPS-2F,validated,10730.0,25201253709.0,4.2577246846128325e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP032006__EP201992:a0.5|CPS-3F,hurricane,EP032006__EP201992,0.5,CPS-3F,validated,827.0,3470769.0,0.023827572506265902,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL022011__AL071977:a0.5|CPS-2F,hurricane,AL022011__AL071977,0.5,CPS-2F,validated,5112.0,1852141869.0,0.0002760047750964157,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL022011__AL071977:a0.5|CPS-3F,hurricane,AL022011__AL071977,0.5,CPS-3F,validated,284.0,613089.0,0.04632280142034843,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP101972__EP141967:a0.5|CPS-3F,hurricane,EP101972__EP141967,0.5,CPS-3F,validated,519.0,1151329.0,0.045078339901105595,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP101972__EP141967:a0.5|CPS-2F,hurricane,EP101972__EP141967,0.5,CPS-2F,validated,7735.0,4790679969.0,0.00016145933458407561,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
