pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
EP141994__EP102004,"['EP141994', 'EP102004']",hurricane,pacific,28,33,True,
EP141994__EP201992,"['EP141994', 'EP201992']",hurricane,pacific,28,69,True,
EP141997__EP032004,"['EP141997', 'EP032004']",hurricane,pacific,34,28,True,
EP141997__EP041979,"['EP141997', 'EP041979']",hurricane,pacific,34,27,True,
EP141997__EP042014,"['EP141997', 'EP042014']",hurricane,pacific,34,42,True,
EP141997__EP061966,"['EP141997', 'EP061966']",hurricane,pacific,34,43,True,
EP141997__EP061992,"['EP141997', 'EP061992']",hurricane,pacific,34,34,True,
EP141997__EP071971,"['EP141997', 'EP071971']",hurricane,pacific,34,29,True,
EP141997__EP071990,"['EP141997', 'EP071990']",hurricane,pacific,34,28,True,
EP141997__EP091995,"['EP141997', 'EP091995']",hurricane,pacific,34,29,True,
EP141997__EP092000,"['EP141997', 'EP092000']",hurricane,pacific,34,25,False,previously tested unordered pair
EP141997__EP101968,"['EP141997', 'EP101968']",hurricane,pacific,34,29,True,
EP141997__EP101983,"['EP141997', 'EP101983']",hurricane,pacific,34,31,True,
EP141997__EP111975,"['EP141997', 'EP111975']",hurricane,pacific,34,37,True,
EP141997__EP112004,"['EP141997', 'EP112004']",hurricane,pacific,34,44,True,
EP141997__EP121968,"['EP141997', 'EP121968']",hurricane,pacific,34,37,True,
EP141997__EP131986,"['EP141997', 'EP131986']",hurricane,pacific,34,28,True,
EP141997__EP151985,"['EP141997', 'EP151985']",hurricane,pacific,34,38,True,
EP141997__EP171994,"['EP141997', 'EP171994']",hurricane,pacific,34,31,True,
EP141997__EP191982,"['EP141997', 'EP191982']",hurricane,pacific,34,27,True,
EP141997__EP212015,"['EP141997', 'EP212015']",hurricane,pacific,34,33,True,
EP141998__EP011976,"['EP141998', 'EP011976']",hurricane,pacific,47,44,True,
EP141998__EP021984,"['EP141998', 'EP021984']",hurricane,pacific,47,82,True,
EP142003__EP111998,"['EP142003', 'EP111998']",hurricane,pacific,28,33,True,
EP142003__EP152005,"['EP142003', 'EP152005']",hurricane,pacific,28,31,True,
EP142005__EP012015,"['EP142005', 'EP012015']",hurricane,pacific,33,40,True,
EP142005__EP072012,"['EP142005', 'EP072012']",hurricane,pacific,33,33,True,
EP142005__EP101996,"['EP142005', 'EP101996']",hurricane,pacific,33,46,True,
EP142005__EP132012,"['EP142005', 'EP132012']",hurricane,pacific,33,44,True,
EP142007__EP082012,"['EP142007', 'EP082012']",hurricane,pacific,25,35,True,
EP142014__EP112012,"['EP142014', 'EP112012']",hurricane,pacific,35,33,True,
EP142014__EP132003,"['EP142014', 'EP132003']",hurricane,pacific,35,31,True,
