curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
EP111983,EP072007,KIKO,1983,DALILA,2007,pacific,36,34,2531.4,2513.5,2.8347,2.8999,2.0963,2.3392,2.8999,2.3392,373.87,373.61,0.1487
EP091972,EP032010,IVA,1972,BLAS,2010,pacific,33,32,2969.9,2421.7,2.7878,6.4983,2.1127,5.883,6.4983,5.883,374.22,372.09,0.1545
EP152014,EP022015,ODILE,2014,BLANCA,2015,pacific,37,38,2674.4,2589.6,2.7771,4.427,2.2596,3.7822,4.427,3.7822,374.35,372.6,0.1446
EP071987,EP151967,GREG,1987,PRISCILLA,1967,pacific,28,27,2828.1,2883.9,2.6188,2.7901,2.1336,2.0918,2.7901,2.1336,374.52,372.15,0.1324
EP071990,EP091995,FAUSTO,1990,HENRIETTE,1995,pacific,28,29,2874.0,2968.8,2.8029,3.0336,2.0342,2.1887,3.0336,2.1887,374.58,372.64,0.1303
AL081968,AL022009,EDNA,1968,ANA,2009,atlantic,31,26,3778.1,3354.2,2.0131,2.1191,2.0078,2.0158,2.1191,2.0158,374.76,371.54,0.1117
AL061971,AL021954,BETH,1971,UNNAMED,1954,atlantic,29,27,3308.3,3259.3,2.9265,3.0371,2.1292,3.0,3.0371,3.0,375.18,372.27,0.1151
AL041908,AL021989,UNNAMED,1908,ALLISON,1989,atlantic,25,28,1164.3,1302.7,4.7089,6.8386,3.8606,6.1188,6.8386,6.1188,375.45,375.3,0.3225
EP042004,EP091965,CELIA,2004,GLENDA,1965,pacific,30,37,2596.2,2841.5,2.2174,2.8505,2.0446,2.0503,2.8505,2.0503,376.03,374.97,0.1448
EP102002,EP021981,HERNAN,2002,BEATRIZ,1981,pacific,31,25,2759.0,2604.3,2.7955,2.8132,2.1277,2.1105,2.8132,2.1277,376.32,377.51,0.1445
EP031968,EP151985,CELESTE,1968,OLAF,1985,pacific,27,38,2831.4,3777.1,2.2915,2.9436,2.0375,2.377,2.9436,2.377,376.42,373.79,0.1329
EP091975,EP041965,ILSA,1975,BERNICE,1965,pacific,35,31,3702.5,3270.7,2.4431,2.6861,2.0773,2.071,2.6861,2.0773,376.43,373.32,0.1151
EP091975,EP161970,ILSA,1975,PATRICIA,1970,pacific,35,31,3702.5,3843.2,2.4431,2.5225,2.0773,2.0684,2.5225,2.0773,376.76,378.66,0.1018
EP172000,EP111995,OLIVIA,2000,JULIETTE,1995,pacific,32,41,1858.6,2380.4,2.7196,4.4299,2.0964,3.7224,4.4299,3.7224,377.5,376.54,0.2031
EP141997,EP151985,LINDA,1997,OLAF,1985,pacific,34,38,2843.1,3777.1,2.7992,2.9436,2.0408,2.377,2.9436,2.377,378.23,375.58,0.133
EP021981,EP072007,BEATRIZ,1981,DALILA,2007,pacific,25,34,2604.3,2513.5,2.8132,2.8999,2.1105,2.3392,2.8999,2.3392,378.42,378.68,0.1506
EP052001,EP111993,DALILA,2001,JOVA,1993,pacific,31,32,3162.7,2920.1,2.2173,2.2906,2.0093,2.0346,2.2906,2.0346,378.43,375.66,0.1296
EP031975,EP021999,CARLOTTA,1975,BEATRIZ,1999,pacific,35,32,3223.3,3468.8,2.2725,2.5217,2.0371,2.0478,2.5217,2.0478,378.85,378.81,0.1175
EP032005,EP081995,CALVIN,2005,GIL,1995,pacific,30,28,3104.8,2562.3,2.7478,3.0351,2.3291,2.3445,3.0351,2.3445,379.11,376.84,0.148
