id,name,year,basin,n,length_km,extent_km,c_cube,c_ball
AL011860,UNNAMED,1860,atlantic,35,2615.08,1871.61,3.7471,3.284
AL172003,LARRY,2003,atlantic,40,1842.27,1285.67,3.7484,3.3783
AL031950,CHARLIE,1950,atlantic,61,7093.43,5294.97,3.752,3.1622
AL021916,UNNAMED,1916,atlantic,51,3430.36,2725.1,3.7624,3.145
AL071932,UNNAMED,1932,atlantic,44,6087.77,4517.51,3.764,2.8916
AL152007,FIFTEEN,2007,atlantic,26,3615.19,3167.04,3.7689,3.1506
AL191970,UNNAMED,1970,atlantic,29,2952.82,2356.68,3.785,3.5214
AL051873,UNNAMED,1873,atlantic,59,6229.78,4001.87,3.8019,3.2756
AL141979,GLORIA,1979,atlantic,44,5607.15,4320.95,3.8092,3.2448
AL131887,UNNAMED,1887,atlantic,53,6946.98,4354.38,3.8166,3.0483
EP152007,KIKO,2007,pacific,50,3113.04,2138.19,3.8251,3.5294
AL101926,UNNAMED,1926,atlantic,57,7037.01,4761.54,3.8274,3.6898
AL122008,LAURA,2008,atlantic,34,4858.22,2758.26,3.836,3.044
EP181970,SELMA,1970,pacific,29,1775.33,1070.71,3.8382,3.6881
CP022006,TWO,2006,pacific,38,4035.85,3770.23,3.8438,3.1954
AL021929,UNNAMED,1929,atlantic,67,5756.85,3606.69,3.8457,3.3927
AL051907,UNNAMED,1907,atlantic,28,2590.56,1850.29,3.8568,3.3304
CP011976,KATE,1976,pacific,42,2241.5,1960.0,3.8776,3.2383
EP141998,LESTER,1998,pacific,47,2956.28,2635.33,3.8813,3.4825
AL071901,UNNAMED,1901,atlantic,55,9039.15,5785.46,3.8909,3.0687
AL141998,NICOLE,1998,atlantic,35,5304.53,3508.24,3.8967,3.7053
AL031911,UNNAMED,1911,atlantic,35,2722.28,2136.77,3.9045,3.3471
AL041990,CESAR,1990,atlantic,31,3380.34,3196.39,3.9052,2.8955
AL011900,UNNAMED,1900,atlantic,81,12985.36,7517.94,3.9068,3.2854
AL111985,ISABEL,1985,atlantic,36,3323.67,2306.06,3.9105,3.463
AL041950,DOG,1950,atlantic,74,9740.63,7363.18,3.9146,3.2242
EP091974,IONE,1974,pacific,42,3636.46,2898.15,3.9162,3.4584
AL051897,UNNAMED,1897,atlantic,54,6480.22,4079.5,3.9228,2.8784
AL051964,CLEO,1964,atlantic,64,9735.54,5830.82,3.9386,3.3846
AL252005,WILMA,2005,atlantic,47,5648.53,4693.12,3.9461,3.6028
AL031955,DIANE,1955,atlantic,67,10958.3,6733.39,3.9496,3.5545
AL181984,KLAUS,1984,atlantic,33,4193.04,3686.95,3.9512,3.1702
AL171936,UNNAMED,1936,atlantic,55,6706.36,4204.8,3.9536,3.7318
AL061941,UNNAMED,1941,atlantic,29,2358.8,1883.23,3.9545,3.4561
EP071976,GWEN,1976,pacific,54,6936.64,5824.87,3.9564,3.6706
AL101995,IRIS,1995,atlantic,66,8847.85,6582.06,3.9597,3.4946
AL031966,CELIA,1966,atlantic,36,5654.64,4141.09,3.9638,3.1503
AL171995,OPAL,1995,atlantic,39,3919.82,3323.06,3.9687,3.5222
AL212010,TOMAS,2010,atlantic,54,6835.03,4407.73,3.9846,3.4537
AL022011,BRET,2011,atlantic,29,2903.26,2498.47,3.9896,3.4202
EP142003,NORA,2003,pacific,28,1906.59,1221.61,3.9907,3.2366
AL192010,RICHARD,2010,atlantic,29,1959.91,1426.86,3.9973,3.8844
AL041956,CARLA,1956,atlantic,38,10439.63,7715.54,3.9984,3.8532
AL031913,UNNAMED,1913,atlantic,70,8811.53,5652.47,4.001,3.1894
AL041988,DEBBY,1988,atlantic,33,2330.57,1968.17,4.01,3.1595
AL041906,UNNAMED,1906,atlantic,74,12073.2,7694.27,4.0131,3.1356
AL041925,UNNAMED,1925,atlantic,36,3393.32,2809.76,4.0202,3.7245
AL091892,UNNAMED,1892,atlantic,35,3283.71,3032.82,4.0254,3.9352
AL051895,UNNAMED,1895,atlantic,59,9211.96,5001.23,4.0334,3.2836
AL041871,UNNAMED,1871,atlantic,57,8355.81,6375.91,4.035,3.0941
AL112000,GORDON,2000,atlantic,29,3884.83,3595.26,4.0415,3.301
EP191990,ODILE,1990,pacific,35,3292.0,2955.5,4.0465,3.3713
AL071935,UNNAMED,1935,atlantic,39,3549.44,2719.68,4.0602,3.3828
AL061926,UNNAMED,1926,atlantic,27,1840.28,1213.72,4.0624,3.428
AL021930,UNNAMED,1930,atlantic,81,10212.37,5615.5,4.064,3.4059
AL031909,UNNAMED,1909,atlantic,36,3008.79,1774.44,4.0943,3.5594
AL061889,UNNAMED,1889,atlantic,61,8267.88,5119.34,4.0967,3.4185
AL091959,HANNAH,1959,atlantic,46,8946.87,5560.06,4.1077,3.642
EP162014,SIXTEEN,2014,pacific,25,2382.94,1632.43,4.1129,3.8979
AL071998,GEORGES,1998,atlantic,70,8213.22,6988.48,4.115,4.0
EP031972,CELESTE,1972,pacific,65,6498.63,5698.15,4.1242,3.5793
EP152015,LINDA,2015,pacific,40,2904.36,2808.67,4.1596,4.0
AL061966,FAITH,1966,atlantic,69,13494.35,8628.3,4.1904,3.3363
AL061989,UNNAMED,1989,atlantic,36,4661.54,4122.7,4.1905,4.0196
AL031922,UNNAMED,1922,atlantic,29,1680.16,1593.99,4.1967,3.7667
CP032002,HUKO,2002,pacific,42,3287.39,2931.09,4.1975,3.4996
AL011999,ARLENE,1999,atlantic,26,1398.7,1072.55,4.2098,3.9215
EP031949,UNNAMED,1949,pacific,25,1751.12,1638.59,4.2162,3.8278
EP142009,KEVIN,2009,pacific,39,2830.13,1982.11,4.2237,3.8065
AL031875,UNNAMED,1875,atlantic,45,5701.69,4718.42,4.2247,3.5379
AL061964,DORA,1964,atlantic,75,11388.91,8016.47,4.229,3.6193
EP011993,ADRIAN,1993,pacific,34,1192.1,808.57,4.2383,3.5219
EP091997,GUILLERMO,1997,pacific,99,12560.97,7663.15,4.2413,3.5802
EP061966,FRANCESCA,1966,pacific,43,3955.3,2711.95,4.2473,4.1213
EP142007,JULIETTE,2007,pacific,25,1848.45,1289.07,4.2564,3.7835
AL192011,SEAN,2011,atlantic,27,2854.33,2364.67,4.262,3.835
AL091947,UNNAMED,1947,atlantic,36,3660.66,2466.53,4.281,3.4515
AL111988,JOAN,1988,atlantic,53,5079.17,4930.64,4.2871,3.8659
AL111966,LOIS,1966,atlantic,39,5867.94,4578.71,4.3067,3.6713
EP092013,IVO,2013,pacific,31,2188.09,1729.96,4.3133,3.5845
AL101989,GABRIELLE,1989,atlantic,58,7503.54,5547.65,4.3281,3.9177
