configuration_id,attempt_path,configuration_hash,input_hash_verified,code_hashes_verified,one_attempt,raw_saved_before_validation,raw_hash,validation_hash,status
protein:1o7j.a__1d9q.d:a0.5|Independent discrete|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\49\attempts\timing049_82402c9475b542c994e0308f8177c44c,4f067e28ccffd2b6c21c8793db0c634fbd66b2a33be0adf87cdcc6809172a2bc,True,True,True,True,3acdb6f751202ecabd5bf3f1a8bec63b0b1e8da0c2e699cf5c137253e6be1353,d2de64341968382d959237f2e99a9c026a9de1a3b0cf6e70731df462208991c6,validated
protein:1o7j.a__1d9q.d:a0.5|CPS-2F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\50\attempts\timing050_55548b9a12924858b5eac2d2766166e8,d017bb61c820cbb1b0730b3f532cf1ad76e0cd85c6fc631dad1779070273190d,True,True,True,True,03dd5bf3a286e13215dce1f9d9dd0eae0451919337b996b280f6b095f4154a47,c1ee9e537e09ff661c3fc13b3d612b0bab76ffbc5747bbdbd15fe36ed19f531f,validated
protein:1o7j.a__1d9q.d:a0.5|CPS-3F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\51\attempts\timing051_f591bfa4f05d408fb892311de66c3dc5,a288169b1527cb12cb669e08a7b78363d608b64a9ab76ab55694bc002e0d8066,True,True,True,True,76c8b609d28d5f4a75bb945fba6691ccacd3a8d479cab50966f48be0949c47d3,5d4f83e5d138df7be67cbe6cd7df738168dc8dfbc79dfbe422316b03e16dca7f,validated
protein:1o7j.a__1d9q.d:a0.5|Independent continuous|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\52\attempts\timing052_44dc1fc77da94152a3c2f91297b16ebe,86b3a03e3414ae1a64ea0f43cc5f84c9b059cb2065f81db7b646da5d628e3c16,True,True,True,True,2fb5c235e7ac06cb15eccc47897c03c439b8dcd1551dd454ef1a40380fd0d685,3d215b06f1a2531878045fa821c65bb9ad1547dd4cdd8fc2da7d2d8b163acbc7,validated
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\53\attempts\timing053_991badb6bf13459f8a76251c4adbb213,ee3a6b125ae0f315486732f8ecf89864e467df44bd5ed19e8fa729c6ec22b01e,True,True,True,True,27960216d5ce8d0ec28e5a1e48fef67e6d830d3940fe1298a7f821d96582cc7a,1398ced41e62c48ff5a2cb2c82915354f3734be1cfecfda4254bd9d792ca3f6c,validated
protein:1o7j.a__1hfj.c:a0.5|CPS-2F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\54\attempts\timing054_3084ca788d444633998d4f50a1b55dbb,ed2f52ee2ea2dd1b0826cae20ac71979a78ce704e57f15d1cf52c6b9c69417a9,True,True,True,True,f16bdb1fedaea7311fa0b5cf42f950fd4d0403d33878d7b39c836e62b0ee1fda,5bc83abe6eade891bb4fa7aeb4ff8ab05f114fc6067f073c91ce7230af65f4f0,validated
protein:1o7j.a__1hfj.c:a0.5|CPS-3F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\55\attempts\timing055_0d97ca0520b6489fa260a8c48ea74133,5c67210de551d75cc07c40dea0d8b5d02b8d8976556dc1bb75576d1a4ecf47e8,True,True,True,True,65c91b9def98440a268b2a178f700a1be8d28639ca76e0bd4b7859400ea3deba,5e2a239a4a158ee51f83d39584ee7fd79e6d8293a2a3fb27574c2efa5982daa0,validated
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\56\attempts\timing056_6511efc3b975490f82acc666fe763e33,5564c8da038a437ac86488a32d9c057183f7b1daf0bc3d517365f973d2d3b21c,True,True,True,True,6881cb65901172456806f1f8eecae3db1ed7dc11923e5a632486b9c7cb18b2fc,538284d1017d78c4c91301f936b5e703b34a94d095f702c715cc62624737ed79,validated
protein:1o7j.a__1qd1.b:a0.5|Independent discrete|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\57\attempts\timing057_d405a7c2f66c4345878b1a35fca03348,230ef1680740350c4ad2f0aab73c513bb77da53ba75d6f13bcdf4dd0249eba30,True,True,True,True,6b0aef3d01a848afd98f63604cd0947431f9df85abda455aa834b8a65ee5901a,3cb9a044785be76069dad4f17e5d5e9bf2934ce7c86504d9e2ba564ef3ba8669,validated
protein:1o7j.a__1qd1.b:a0.5|CPS-2F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\58\attempts\timing058_c77ab514d8e846fc97c8c173e5219c68,f9572057a92b301c3a3e931ccd7834ea7691e6c35a47948130ac036d1d9bfd73,True,True,True,True,a1a75bbe1cfb99ec05afdf8e62407de03511ec984a1a786cb527060d31e0653c,ad304b58e234f5efc67ac14aa9303058818ab98482ac0ecd3e31a303c0072384,validated
protein:1o7j.a__1qd1.b:a0.5|CPS-3F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\59\attempts\timing059_672b86c301fa434abac160bd77d0667e,37fdff24cdd75b2735ec40e7986cf7709d8ee56decf5db7e484707c44f77d86e,True,True,True,True,6ca175132a57a8043336777f4867987f49088bfdbc42f700b66057d82216ce6f,7be5beda70d5da3df2f8f1ab6209f623088f65d5a7c8f3f8f021427313c872ce,validated
protein:1o7j.a__1qd1.b:a0.5|Independent continuous|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\60\attempts\timing060_a5cae24be9bc42a4af9dc47f03053d8c,7494698265a630e4d0d5a8f2514c944aa4b836de1fa95bf9c54da0544c20e477,True,True,True,True,d136997b7feb8b296410c3f55f1444eac660d1e322bb36298ae77af5c5c2c988,cc1fc66593bfc9c8c7bc61eb491270e7b17a4988f0fac15c78797034ff9b64a2,validated
